Instruction,Topic
"عندك سؤالين. شوف إذا كانوا مكرّرين.
الإدخال:
سؤال1: نحاول نفهم ميزات الملتيبروسيسينغ (المعالجة المتعدّدة) مقارنة بالثريدينغ. نعرف إنو الملتيبروسيسينغ تتجاوز الجلوبال إنترpreter لوك، أما شنو الميزات الأخرى؟ وهل الثريدينغ ما ينجمش يعمل نفس الحاجة؟
سؤال2: قاعد نتعلّم كيف نستعمل الموديولات threading وmultiprocessing في بايثون باش نشغّل شوية عمليات بالتوازي ونسرّع الكود. نلقاها صعيبة (يمكن خاطر ما عنديش خلفية نظرية) باش نفهم الفرق بين كائن threading.Thread() وكائن multiprocessing.Process() زادة، مش فاهم بالضبط كيفاش نعمل طابور مهام (queue of jobs) ونخلّي كان ٤ منهم (مثلا) يخدمو بالتوازي، والباقي يستنّى الموارد تفضى قبل ما يتنفّذ. نلقى الأمثلة في الدوكيومنتيشن واضحة، أما ماهيش وافية برشة؛ أول ما نحاول نعقّد الموضوع شوية نلقى برشة أخطاء غريبة (كيما ميثود ما ينجمش يتعملّو pickle). أذن، وقتاش نستعمل threading وmultiprocessing؟ تنجم تعطيني روابط توضح المفاهيم هذي وكيفاش نستعملهم مظبوط في المهام المعقّدة؟",Technology & Digital Life
"صمّم مشكل برمجي (برمجة) عندو علاقة بالموضوع المعطى ليك. استعمل أمثلة وشروط باش تحسّن السؤال.
الإدخال: Dynamic Programming",Technology & Digital Life
"قدّم حل بجافا للمشكل التالي.
الإدخال:
عندك عدد صحيح n، لازم ترجّع true لو هو قوّة للعدد ثلاثة. وإلا false لو موش قوّة ثلاثة. العدد الصحيح n هو قوّة ثلاثة كان فما عدد x صحيح بحيث n = 3^x.
مثال١: in: n = 27 out: true التفسير: 27 = 3^3
مثال٢: in: n = 0 out: false التفسير: مافماش x بحيث 3^x = 0
مثال٣: in: n = -1 out: false التفسير: مافماش x بحيث 3^x = -1
الحدود: -٢٣١ <= n <= ٢٣١ - ١
متابعة: تنجم تحلّها بلا حلقات / ركورسيون؟",Education & Studying
"فكّر في المواضيع الأكثر انتشار في أسئلة الانترفيو الكلاسيكية لخدمة في مجال علوم الكمبيوتر.
الإدخال:",Technology & Digital Life
"يلزمك ترشد الشخص هذا في السيناريو اللي حكاه على الانترفيو.
الإدخال:
أخيرا! بعد مدة من التخمين العشوائي والمحاولات بالغصب في الأمثلة على السبورة، طلعت بفكرة خوارزمية تحل سؤال الكود اللي عطاهولي الم interviewer. ياه، ريّحت كي لقيت طريق واضح. ما عادش نتهاوى. توّة قاعد نبرمج في الحل، وفجأة، الinterviewer يرميلك سؤال غير متوقّع: ""أما لو فكّرنا في المشكل بالطريقة هذي؟"" تحسّ بالتوتّر اللي كلّنا حسّينا بيه في الانترفيو: ""حاول تسمعو وتفهمو، وما تضيّعش خيط أفكارك... أوف، ما نجمش نعمل الزوز!""",Personal Development & Life Advice
"عندك مشكل برمجي وتنفيذ متاعو. حلّل المشكل والتنفيذ وفسّر الخوارزمية والطريقة اللي استعملناها باش نحلّو.
الإدخال:
عنا جدول Person فيه:
| personId | int |
| lastName | varchar |
| firstName | varchar |

personId هو المفتاح الأساسي. فيه معلومات عالهوية (ID) متاع الأشخاص وأسمائهم.
وجدول Address فيه:
| addressId | int |
| personId | int |
| city | varchar|
| state | varchar |

addressId هو المفتاح الأساسي. كل سطر فيه معلومات عالمدينة والولاية لشخص عندو ID معيّن.
اكتب استعلام إس كيو إل (SQL) باش ترجع first name، last name، city، وstate لكل شخص في جدول Person. إذا العنوان (address) لشخص معيّن مش موجود في جدول Address رجّع null مكانو. رجّع النتيجة بأي ترتيب.
التنفيذ:
سيلكت فيرست نايم، لاست نايم، سيتي، ستيت فروم بيرسن ليفت جوين آدرس أون بيرسن.بيرسن آي دي = آدرس.بيرسن آي دي",Technology & Digital Life
"المقال المعطى يلزمنا نراجعو من الناحية العلمية ونصلحو الغلط كان فما.
الإدخال:
الزنك هو معدن ضروري للصحة. يشارك في برشة عمليات بيوكيميائية في الجسم ولازم لوظيفة سليمة لجهاز المناعة. الزنك الزايد ما هوش مضرّ خاطر يتطرّد في البول.",Education & Studying
"لخّص المقال اللي عطيتهولك بطريقة مختصرة.
الإدخال:
الرياضيات والفن مرتبطين بطرق متعدّدة. توصّفو الرياضيات في حد ذاتها كفن يستند للجمال. وتنجم تلاحظ الرياضيات في فنون كيما الموسيقى، الرقص، الرسم، الهندسة المعمارية، النحت، والمنسوجات. أما المقال هذا يركّز خاصة عالرياضيات في الفنون البصرية. العلاقة بين الرياضيات والفن قديمة. الفنّانين استعملو الرياضيات من القرن الرابع قبل الميلاد كي النحات الإغريقي بوليكليتوس كتب ""كانون"" اللي يبدو استند لنسبة ١ إلى جذر ٢. فمّا ادعاءات مشهورة على استعمال النسبة الذهبية في فن ومعمار قديم من غير أدلّة قوية. في عصر النهضة الإيطالية، لوكا باتشولي كتب كتاب مؤثّر ""دي ديفينا بروبورسيوني"" (١٥٠٩)، برسومات ليناردو دافينشي عن النسبة الذهبية في الفن. رسّام إيطالي آخر بيرو ديلا فرانشيسكا طوّر أفكار إقليدس عالمنظور في كتب كيما ""دي بروسبيكتيفا بينجيندي"" وفي رسوماتو. النقّاش آلبرخت دورر عمل إشارات كثيرة للرياضيات في عملو ""ميلنكوليا ١"". في العصر الحديث، الفنان إم سي إيشر استعمل التبليط (التسيلّح) والهندسة الزائدية بشكل مكثّف بمعاونة عالم الرياضيات كوكسيتر، فيما حركة دي ستايل اللي يقودها ثيو فان دوسبرغ وبيت موندريان تبنّت الأشكال الهندسية علنا. الرياضيات ألهمت فنون النسيج كيما الكويلتينغ، الحياكة، الكروشيه، التطريز، النسيج، والسجاد التركي وغيره، وحتى الكليم. في الفن الإسلامي، التناظرات نشوفوها في أشكال متنوّعة كيما القيريح الفارسي والزليج المغربي، شاشات الحجر المثقوبة (جالي) في عمارة المغول، والقباب والزخارف المقرنصة المنتشرة.",Languages & Translation
"حسّن المقال بالاعتماد عاللي تعرفو ع الموضوع، باش يولي أكثر ثراء بالمعلومات.
الإدخال:
حركة ""التجارة العادلة""، زادا معروفة باسم ""عدالة التجارة""، تشجّع استعمال معايير العمل والبيئة والمعايير الاجتماعية في إنتاج السلع، خاصة المصدّرة من العالم الثالث والثاني للعالم الأول. الأفكار هذي أثارت نقاش على إذا التجارة نفسها يلزمها تكون مصنّفة كحق من حقوق الإنسان.",Languages & Translation
"خلّي المقال متوفر بلغة ثانية عبر ترجمته ليها.
الإدخال:
طبّ الأسنان، المعروف زادة باسم طب الفم وطب الأسنان، هو فرع من فروع الطب يركّز عالسنّة واللّثة والفم. يتكوّن من دراسة وتشخيص ومنع وتصرّف ومعالجة الأمراض والاضطرابات والحالات المتعلّقة بالفم، وعادة يركّز على الأسنان (نموّ الأسنان وترتيبها) وزادة الغشاء المخاطي للفم. طبّ الأسنان يلمّ زادة جوانب أخرى من منطقة الوجه والفكين بما في ذلك المفصل الفكي الصدغي. الطبيب في هالمجال يسمّوه طبيب أسنان.
ترجم للفرنسية:",Languages & Translation
"لازمنا نقوّم جودة المقال. باش نعمل هالشي، نراجع جودة الكتابة وتفسير الموضوع.
الإدخال:
القرن العشرين شهد ثورة في الاستماع للموسيقى مع انتشار الراديو عالميا وتطوّر وسائط وتكنولوجيا جديدة لتسجيل، تعديل وتوزيع الموسيقى. العروض الموسيقية ولات أكثر بصرية مع البث وتسجيل العروض. موسيقى القرن العشرين جابت حرية جديدة وتجارب واسعة مع ستايلات وأشكال موسيقية جديدة تحدّت القواعد المقبولة للموسيقى في الفترات السابقة. اختراع التكبير الموسيقي والآلات الإلكترونية، خاصة السينثسيزر، في وسط القرن العشرين ثوّر الموسيقى الكلاسيكية والشعبية، وسرّع تطوير أنماط جديدة في الموسيقى.",Languages & Translation
"جاوب عالسؤال التالي بالاعتماد على المعلومات في المقال.
الإدخال:
دراسات التنمية هي فرع متعدد الاختصاصات من العلوم الاجتماعية. تتقدّم دراسات التنمية كماجستير متخصص في برشة جامعات عالمية مرموقة. زادت شهرتها كمادة دراسة من بداية التسعينات، وتتدرّس وتنعمل عليها أبحاث بالأساس في البلدان النامية والبلدان اللي عندها تاريخ استعماري، كيما بريطانيا وين تولدت هالتخصّص. طلبة دراسات التنمية في العادة يختارو يخدمو في منظمات دولية كيما الأمم المتحدة والبنك العالمي، منظمات غير حكومية، مؤسسات الإعلام والصحافة، شركات استشارات التنمية في القطاع الخاص، هيئات المسؤولية الاجتماعية للمؤسسات (CSR)، ومراكز البحث. شنيا بعض المسارات المهنية المشهورة لطلبة دراسات التنمية؟
","Education & Studying, Languages & Translation"
"صمّم منهج (سيلابس) للكورس المعطى. الطلبة يلزمهم ياخدو قائمة الفصول مع شرح موجز لغرض كل فصل.
الإدخال:
البرمجة للجميع(البداية في البايثن)",Education & Studying
"اعمل قائمة بالصفات الشخصية اللازمة باش تنجح في الوظيفة المعطاة.
الإدخال: سوشيال ميديا ماركتر",Social & Romantic Relationships
"رجاءً اعمل قائمة كورسات ينجم يعجبو شخص مهتم بالكورس الأول.
الإدخال: Bitcoin and Cryptocurrency Technologies",Education & Studying
"فكّر في الكورسات اللي لازم ياخدها الواحد باش يولي خبير في المجال المذكور.
الإدخال: Graphic Design",Society & Current Affairs
"اعمل جدول يومي بالاعتماد على المعلومات اللي عطيتولك.
الإدخال: عايلتنا تحب تعمل رحلة ٩ أيام في المغرب بنشاطات خفيفة لمتوسطة.",Personal Development & Life Advice
"اعطي نصايح للطلبة كيفاش يسيطرو على الأعصاب متاعهم وقت العروض الشفاهية في القسم.
الإدخال:",Personal Development & Life Advice
"تنجم بسهولة تجعل العطلة متاعك أكثر مراعاة للبيئة باتباع الخطوات البسيطة هذي:
الإدخال:",Personal Development & Life Advice
"فكّر في فكرة تعاونك تربح التحدّي اللي اعطوهولك. اكتب الخطوات اللي يلزمك تاخذها باش تطوّر الفكرة هذي زادا.
الإدخال:
شنو تنجم تعمل بإعادة تدوير واستعمال بعض المواد القديمة اللي قبل؟ نحبّو نشوفوها! المشاريع لازم تتضمن نوع من المواد المستعملة – خذ الحاجة القديمة هذي وبدّلها الحاجة جديدة ومختلفة! النفايات الإلكترونية مشكلة كبيرة. شنو تنجم تعمل باستعمال أجهزة إلكترونية قديمة ومواد إلكترونية قابلة للاسترجاع؟ عنا جايزة خاصة من الحكام لأحسن مشروع فيه إعادة استعمال للنفايات الإلكترونية. كون ذكي وكون حذر؛ المشاريع اللي تنجّم تقتل كيما ليتشنبرغ (حرق الخشب بالخيوط المتفرّعة) ما تتقبلش ولا تتنشر.",Personal Development & Life Advice
"فمّا برشة مشاريع إبداعية نجمو نبنيوها في الدار مرتبطة بالموضوع اللي عطيتولك، خلينا نعمل قائمة ببعضها.
الإدخال:
الموضوع: الدوائر ","Personal Development & Life Advice, Technology & Digital Life"
"أعمل قائمة بالمواد اللي باش تحتاجها باش تصنع الأداة المعطاة.
الإدخال: ميترو يقيس كحل القهوة","Personal Development & Life Advice, Technology & Digital Life"
"أعطِ شرح مفصّل للخطوات اللي لازمة باش تركّب المشروع المعطى.
الإدخال: محرك بخاري بحكة بيرا فارغا","Personal Development & Life Advice, Technology & Digital Life"
"قدّر تكلفة التجهير اللي باش تحتاجها للمشروع وحسب التكلفة الجمليّة.
الإدخال: مبرد ماء منزلي
المواد المطلوبة: صانع ثلج, صندوق ثلج/مبرد, مركح سخانا, ترمبا تع اكواريوم x2, 12V مولد طاقا","Technology & Digital Life, Personal Development & Life Advice"
"أجب على سؤال الأدب التالي بالدقّة حسب معرفتك بأدب تلامذة الثانوي.
الإدخال: شنوا يعني الضو الأخضر في نهاية الكتاب?",Personal Development & Life Advice
"طوّر تمرين ذهني يساعد الناس يتعاملوا مع القلق متاعهم وفسّر كيفاش يشتغل.
الإدخال:",Education & Studying
"عطيني فكرة على التمارين الذهنية اللي تعملهم باش تستلهم نفسك.
الإدخال:
",Education & Studying
"أعمل قائمة بالانشطة الخارجية اللي تصلح لظروف الطقس المعطى.
الإدخال: سخانا: 57 F, تمطر",Education & Studying
"رجاءً عطينا قائمة بأسئلة افتتاحية مفيدة للنقاش مرتبطة بالطقس.
الإدخال:",Greetings & Small Talk
"بالنظر لظروف الطقس المعطاة، عطينا شوية نصايح لكيفاش نعدّلو خطط السفر على ضؤها.
الإدخال: تغير مفاجئ في الحرارا",Personal Development & Life Advice
"اكتب To-Do List بالاعتماد على المعلومة المعطاة.
الإدخال: حاجات تعملهم كل يوم في فرماسي",Personal Development & Life Advice
"صمّم قالب جدول باش نتابعو كل الاشتراكات.
الإدخال:",Other
"خطّط لآجندا للاجتماع اليومي . عطِ وقت محدّد لكل موضوع في اللآجندا.
الإدخال:",Other
"أجب على السؤال التالي.
الإدخال: كيفاش نقول ""مساء الخير"" بالفرنسي",Greetings & Small Talk
"شنوّا الصوت اللي تعملو هذي؟
الإدخال: 好",Languages & Translation
"عطينا نصيحة نحوية حول كيفاه نختم الفعل في اللغة الألمانية.
الإدخال:",Languages & Translation
"هذي اختبار لفهم القراية بالفرنسية. اقرا الحكاية مليح وبعد جاوب السؤال.
الإدخال:
Lucie est à la maison avec sa petite-fille, Lin.
Lucie: Oh, non! Nous n'avons pas de pain!
Lin: Ah! Tu vas au supermarché?
Lucie: Oui, je veux une baguette pour mon sandwich.
؟لين و لوسي عندهم برشا خبز",Languages & Translation
"فكّر في أفكار عشا خفيفة وصحية لأيام وسط الأسبوع.
الإدخال:",Social & Romantic Relationships
"عطينا حيلة في الطبخ باش تحسّن مذاق الأكلة المعطاة.
الإدخال: popcorn",Food & Cooking
"أعمل قائمة لمج وأكلات باش تقدّمهم في حفلة العاب.
الإدخال:",Food & Cooking
"فسّر كيفاش تحضّر الأكلة المعطاة بكلماتك إنت. أذكر المكوّنات والخطوات.
الإدخال: كوكيز بالشكلاطا تتلوك",Food & Cooking
"اقترح وصفة تحلية  نباتية.
الإدخال:

",Food & Cooking
"صمّم لغز سودوكو متوسّط الصعوبة.
الإدخال:",Culture & Entertainment
"حلّ لغز السودوكو المعطى.
الإدخال:
The Sudoku puzzle is: |1| |5| | | | |8| | | | | | | |3| |6|4| |8|3|4|6|7| |9| | | |2|9|1| | |8|3|7|6| | | |6| | |9|8|1| | | | | | | |2| | | | | |2| | |9|7|6| | | |5|4| | | | | |9|8| |6|1| | | |5|4|3|7|",Culture & Entertainment
"فكّر في عبارة تحفيزية قريتها في كتاب. خليك إيجابي وحلو.
الإدخال:
",Education & Studying
"اختار أحسن كتب من النوعية المعطاة.
الإدخال: جريما& غموض",Education & Studying
"عطي وصف مختصر للكتاب اللي عطيتهولك.
الإدخال: Matilda","Culture & Entertainment, Education & Studying"
"لو أعجب الشخص بالكتاب اللي عطيتهولو، اقترح كتب اخرى تنجم تعجبو زادة.
الإدخال: The Great Gatsby",Education & Studying
"اذكر التصنيف اللي ينتميليه الكتاب المعطى.
الإدخال: حب في وقت الكوليرا",Education & Studying
"حلّ المعادلة هذي.
الإدخال: x^3 - 4x^2 + 6x - 24 = 0","Education & Studying, Science and Math"
"برهن العبارة المعطاة بالاعتماد عاللي تعرفو.
الإدخال: ""كان x رقم موجب والا حل لي x+3>4,مالا x>0 and x>12.""","Education & Studying, Science and Math"
"بالاعتماد عالحقائق اللي توفروا، برهن العبارة التالية.
الإدخال:
معلوما: ""لكل رقم k, k^2 + 2k + 1 ≥ 0""
حقيقا: مربع أي عدد حقيقي ماهوش سالب.","Education & Studying, Science and Math"
"تأكد من صحّة العبارة المعطاة.
الإدخال: ""بالنسبة لكل الأعداد الصحيحا j وk، كان j وk فرديين، معناها jk فردي.""","Education & Studying, Science and Math"
"قدّم صيغة تحسب بيها الحدّ رقم n في السلسلة المعطاة.
الإدخال: 5, 14, 23, 32, 41, ...","Education & Studying, Science and Math"
"أعمل جدول يسجّل كل الماتشات اللي تحقق الشرط في الدوري الأمريكي لكرة القدم (NFL). استعمل الإعمدة: فصل, وقت, اللعبة, سكور.
الإدخال: لعبة الريفنز في2011",Social & Romantic Relationships
"باستعمال جدول، قارن المسيرة المهنيّة للّاعبين المعطاة أسماؤهم في الـMLB. استعمل ""|"" لفصل الأعمدة.
الإدخال: ديريك جاتر, البيرت بوجولس",Culture & Entertainment
"بش يمتحنوك في معرفتك بالحكم القصيرة والأقوال المأثورة انتي تكمل الحكمة المعطاة. اكتب الاقتباس الأصلي.
الإدخال: زوز حاجات عندهمش نهايا",Culture & Entertainment
"أعمل قائمة بكل الأفلام اللي توافق المعايير المعطاة.
الإدخال: افلام متع سبايك لي بيوم الاصدار",Culture & Entertainment
"باستعمال المبلغ المعطى، حدّد قيمة الإكرامية المناسبة.
الإدخال: 14% الإكرامية متع  47.50 دينار",Society & Current Affairs
"حدّد كل الكلمات اللي تتماشى مع النموذج المعطى.
الإدخال: H_AR_",Other
"أوجد كلمات تتسجّم (تتوافق في القافية) مع الكلمة المعطاة.
الإدخال: إرشاد

",Other
"لوج على قصائد تذكر الشئ ولا الشخصية المعطاة. اكتب أسامي القصايد والشعرا.
الإدخال: سانتا كلوز",Culture & Entertainment
"جاوب على آخر رسالة في الشات باستعمال الإيموجيز الصحيحة باش تعبّر على شعورك.
الإدخال:

كيفاش عديت دفوارك؟
لاباس فرحت لي هوما وفاو
ايه نعرف فاش تحس. فرحان لي ماعادش بش نخمم فيهم","Education & Studying, Personal Development & Life Advice"
"باش تجاوب في الشات، فكّر في ردّ مضحك تنجّم تستعملو.
الإدخال: +شنوا احوالك؟",Greetings & Small Talk
"آخر رسالة في الشات هي ردّ ناقص. لازمك تكملو وتعاود تكتبو بوضوح.
الإدخال:

شنوا بش تعمل طوا؟ما نعرش.قصيت علا حلمي بش نولي عالم رياضيات
.
علاش؟",Other
"بدّل الرد باش يولي بنبرة أكثر تعاطف في الشات.
الإدخال:
شنوا حوالك؟+
لاباس. كان عندي برشا مشاكل ليوم.+
شنوا انواع المشالك؟",Languages & Translation
"تأكّد من معلومات الاجتماع في المحادثة هذي.
الإدخال:
شخص 1: هاي، وقتاش فاضي؟ نحب نقابلك.
شخص2: أنا فاضي غدوة بعد القايلة.
شخص1: ممتاز، أي ساعة؟
شخص2: شنو رايك في الساعة الثالثة بعد الزوال؟
شخص1: عندي اشتماع آخر في الوقت ذاك. شنوة رايك في الخامسة؟
شخص2: ماشي الحال. وين نجتمعو؟
شخص1: شنوة رأيك في كوفي شوب في مين ستريت؟
شخص2: باهي برشا. سمعت إنهم عندهم قهوة بنينة برشا. نشوفك غدوة!",Society & Current Affairs
"صنّف النص المعطى هل هو مهين ولا لا.
الإدخال: ""راك تصرّفت بجنون البارح.""",Society & Current Affairs
"عطي ملخّص وجيز للنوايا في الحوار اللي صار تاوكا.
الإدخال:
زبون: هاي، نحب تليفون جديد.
AI: أهلا! شنوة نوع التليفون اللي تلوج عليه؟
زبون: مانيش متأكّد. يمكن حاجة بكاميرا باهية؟
AI: عنا شوية تليفونات بكاميرات مزيانة. تحب تشوف شوية خيارات؟
زبون: إي، ",Social & Romantic Relationships
"فسّر محتوى المقال المعطى بطريقة مختصرة.
الإدخال:
دراسة تنشرت أول العام من طرف ""زي"" وفريقها درست دور الضو في النوم عند بالغين صحيحين في العشرينات من عمرهم. النوم ليلة وحدة بضو خافت كيما تلفزة صوتها مطفي طلّع السكر في الدم ودقات القلب عند الشباب أثناء تجربة النوم في المخبر. دقات قلب عالية في الليل تبيّن في دراسات قبل إنها عامل خطورة لأمراض القلب والموت المبكّر، في حين السكر العالي في الدم علامة على مقاومة الإنسولين اللي تنجم في الأخير تؤدّي للنوع الثاني من السكري.",Education & Studying
"صلّح النسخة المكتوبة  اللي فيها أخطاء.
الإدخال:""تم خصم فائض الفايدة على كرت الكريدي متاعي أما أنا خلّصت الكل نهار قبل تاريخ الاستحقاق. عمري ما فوّت في أي خلاص السنّة هذي الكل. تنجم ترجعلي الفايدة اللي خلّصتها؟""",Education & Studying
"شوف العقد واستخرج الأطراف المشاركة فيه.
الإدخال:
ابتداءً من اليوم الثالث عشر من ديسمبر 2021، هالاتفاقية متاع تسجيل موسيقي (""الاتفاقية"") معمولة بين ""غود كيد""، فرقة موسيقية من تورونتو (""الفنان"")، و""يونيفرسال ميوزيك غروب""، ليبل تسجيل برخصة رقم 545345 (""شركة التسجيل""). الفنان وشركة التسجيل ينجم يتسمّاو في الاتفاقية كأطراف كل واحد بوحدو وكأطراف مع بعضهم. الخدمة تحت الاتفاقية هذي تبدأ من 15 مارس 2022وتستمر طول مدّة الاتفاقية.",Legal & Administrative
"بناء على عنوان الإيميل، قرّر إذا يلزم نتعاملو معاه كسبام ولا لا.
الإدخال:""أطباء الجلد ما يحبّوهاش!""",Society & Current Affairs
"صنّف التغريدة في إحدى التصنيفات: حدث، تجريبي، ولا اخبار.
الإدخال:""باستعمال الدليل هاذا، تنجّم تحلّل وتصنّف تقييم المستخدم كيما إيجابي ولا سلبي باستعمال خاصّيات تحليل المشاعر في تطبيق نيكست دوت جاي آس. نورّيوك كيفاش تستغلّ تقنيات الذكاء اللغوي في تطبيقاتك. شوف التفاصيل تحت ↓""",Other
"اعطِ عنوان الخبر تصنيف من: لأخبار والطنين والسفر والأناقة والفنون والثقافة والسياسة والتكنولوجيا والعلوم والصحة.
الإدخال:""معرض #بانكسي في كامبريدج، ماساتشوسيتس رهيب برشا.""",Other
"صنّف السؤال في قسم ""العثور على تفاصيل السياسة
""، ""تبديل إعدادات الحساب
""، ""تقدم المطالبة وحالة العرض
""، ولا ""إلغاء التغطية
"".
الإدخال:""تنجم تصب الفلوس في الحساب متاعي عوض تبعثلي شيك ورقي؟""

",Money & Finance
"اختار عنوان جذّاب للمنشور متاعك.
الإدخال:""الأفوكا العادي فيه أكثر من 300 كالوري من الزيت اللي فيه. هذي نفس مقدار الكالوري في شوكولاتة كبيرة. إذا تعمل تمارين كافية باش تاكل شوكولاتة كبيرة كل يوم من غير ما تزيد في الوزن، ما فيها باس تاكل أفوكا كل يوم. وإلا يلزمك تاكلهم بحذر.""",Health & Body
"عطينا أمثلة على العبارات اللي يستعملوها الناس في الحالة الاجتماعية المعطاة.
الإدخال""كي الواحد يوصل لدارو لاباس""

",Languages & Translation
"يلزمك تكتب بعض الأسئلة من قسم الانترفيو الخاصة بالشركة المعطاة.
الإدخال:""كوهلز""

",Society & Current Affairs
"بناءً عاللي توفّر، قدّر متوسط الملخّص للوظيفة المعطاة.
الإدخال:موظف إدخال بيانات في تونس","Languages & Translation, Personal Development & Life Advice"
"فسّر المهام الوظيفية للوظيفة المعطاة.
الإدخال:""عون حراسة""",
"أعطي قائمة بالمهارات اللي ربما تعاونك تلقى الخدمة.
الإدخال:""أعضاء الفريق""",Personal Development & Life Advice
"نظّم الميتينغات حسب المعلومة المعطاة.
الإدخال:""شخص1: فاضي من التاسعة للصاح لحدّ الحادية عشرة، وقت الاجتماع: نص ساعة
شخص2: فاضي من الواحدة متع العشية للثالثة، مدّة الاجتماع: ساعة ونص
شخص3: فاضي من الثانية متع العشية للثالثة ونص، مدّة الاجتماع: ساعة""",Society & Current Affairs
"القا الاتجاهات بين المواقع لي عطيتهملك.
الإدخال:
مِن: زغوان‎
إلى: القصرين

",Travel & Immigration
"اعطي شرح مختصر للجزء المطلوب من الورقة.
الإدخال:
ورقة: النماذج المسيطرة في تحويل التسلسلات (سيكوينس ترانسداكشن) مبنية على شبكات عصبونية تكرارية (ريكارنت) أو تلافيفية (كونفوليوشنال) مع إنكودر وديكودر. أقوى النماذج تربط الزوز مع بعضهم بميكانيزم الأتينشن. نقدّمو معمارية شبكة جديدة وبسيطة، الترانسفورمر، معتمدة فقط عالآتينشن، وتستغنى تمامًا عن التكرار (ريكورنس) والتلافيف (كونفوليوشن). التجارب على زوز مهام ترجمة آلية تورّي إنو هالنماذج أحسن في الجودة وأسهل في التوازي وتاخذ وقت أقل في التدريب. الموديل متاعنا يحقّق ٢٨.٤ بلو (BLEU) في مهمة ترجمة إنقليزي-ألماني (WMT 2014)، ويحسّن أكثر من أحسن نتائج حالية، وحتى مع الإينسمبل (ensembles)، بأكثر من ٢ نقاط بلو. أما في مهمة الترجمة إنقليزي-فرونسي (نفس الداتا WMT 2014)، الموديل متاعنا يعمل نتيجة بلو ٤١.٨ كموديل واحد (سينغل موديل) في ظرف ٣.٥ أيام تدريب على ٨ جي بي يو (GPUs)، وهي نسبة صغيرة من تكلفة تدريب أحسن الموديلات في الأدبيات. زادا ورّينا إنو الترانسفورمر يتعمّم مليح في مهام أخرى كيما تحليل البُنى في اللغة الإنقليزية (English constituency parsing) سواء بداتا كبيرة ولا محدودة.
اشرح: النماذج المسيطرة في تحويل التسلسلات

",Languages & Translation
"جاوب على السؤال بخصوص الورقة بعد ما تقراها مليح.
الإدخال:
باش نقيسو إذا الترانسفورمر ينجم يتعمّم لمهام أخرى، عملنا تجارب على تحليل البُنى النحوية في الإنقليزية (إنقليش كونسيتوينسي بارسينغ). المهمة هذي فيها تحدّيات خاصة: الناتج فيه قيود هيكلية قوية وطويل برشة مقارنة بالمدخل. فوق هاذا، نماذج RNN سيكوينس-تو-سيكوينس ما نجّمتش توصل لأحسن النتائج في حالات الداتا القليلة.
السؤال: شنوة هو تحليل البُنى النحوية في الإنقليزية؟",Education & Studying
"اقترح شوية أنشطة مفيدة ولا مواضيع كلام تستخدمهم في لقاءات باش تفكّ الجوّ .
الإدخال:",Culture & Entertainment
"حوّل الـHTML المعطى لصيغة ماركداون.
الإدخال:
<code>Use `code` in your Markdown file.</code>",Technology & Digital Life
"استخرج المنهجية اللي استعملوها في البحث من ملخّص الورقة، وهات الجُمَل بالضبط اللي تحكي عليها.
الإدخال:
قدّمنا نظام تعرّف كلام (سبيتش ريكوغنيشن) متطوّر معمول بالاعتماد على التعلّم العميق من البداية للنهاية (إند تو إند). المعمارية متاعنا أبسط برشة من الأنظمة الصوتية التقليدية اللي تعتمد على مراحل معالجة متعبة في التصميم؛ والأنظمة التقليدية عادةً تعطي نتائج ضعيفة في البيئات المزعجة. بالعكس، نظامنا ما يحتاجش مكوّنات مصمّمة يدويًا باش نمثّلو الضوضاء في الخلفية والرنين (ريفربيريشن) ولا اختلاف المتحدّث، إنما يتعلّم ديراكت دالّة متحصّنة ضد الحاجات هذي. ما نحتاجوش حتى قاموس فونيمات، ولا حتى مفهوم ""فونيم"". النقطة المفتاحية في المنهجية متاعنا هي نظام تدريب RNN محكّم يستعمل عدة GPUs، وزادا شوية تقنيات تركيب بيانات (داتا سينثيسيس) جديدة تسمح إننا نتحصّلو ع كمية كبيرة ومتنوعّة من الداتا للتدريب بكفاءة. نظامنا، المسمّى ""ديب سبيتش""، يتفوّق ع النتائج المنشورة قبل على سويتش بورد هاب٥’٠٠ (Switchboard Hub5'00) ويجيب ١٦.٠٪ نسبة خطأ على كامل التيست. زادا ديب سبيتش يتعامل أحسن في البيئات المزعجة مقارنة بالأنظمة التجارية المتقدّمة.",Education & Studying
"يلزمك تكتب أسماء بعض الأوراق اللي مرتبطة بالورقة المعطاة.
الإدخال:
RoMQA: معيار, أدلة متعددة,الإجابة على الأسئلة متعددة الإجابات",Education & Studying
